detectorid,stationid,stationname,lanenumber,highwayid,highwayname,milepost
1000216,10703,"North of 4th Pln",3,502,"WA I-5",1.64
1000217,10703,"North of 4th Pln",2,502,"WA I-5",1.64
1000218,10703,"North of 4th Pln",1,502,"WA I-5",1.64
1000232,10704,"North of 4th Pln",3,501,"WA I-5",1.64
1000233,10704,"North of 4th Pln",2,501,"WA I-5",1.64
1000234,10704,"North of 4th Pln",1,501,"WA I-5",1.64
1000205,10705,"Main St",3,502,"WA I-5",2.97
1000206,10705,"Main St",2,502,"WA I-5",2.97
1000207,10705,"Main St",1,502,"WA I-5",2.97
1000245,10706,"Main St",3,501,"WA I-5",2.97
1000246,10706,"Main St",2,501,"WA I-5",2.97
1000247,10706,"Main St",1,501,"WA I-5",2.97
1000191,10707,SR500,3,501,"WA I-5",2.09
1000192,10707,SR500,2,501,"WA I-5",2.09
1000193,10707,SR500,1,501,"WA I-5",2.09
1000238,10708,SR500,3,502,"WA I-5",2.09
1000239,10708,SR500,2,502,"WA I-5",2.09
1000240,10708,SR500,1,502,"WA I-5",2.09
1000219,10709,"Burton Rd",3,55,"WA I-205",29.84
1000220,10709,"Burton Rd",2,55,"WA I-205",29.84
1000221,10709,"Burton Rd",1,55,"WA I-205",29.84
1000225,10710,"Burton Rd",3,54,"WA I-205",29.84
1000226,10710,"Burton Rd",2,54,"WA I-205",29.84
1000227,10710,"Burton Rd",1,54,"WA I-205",29.84
1000211,10711,"Main St North",3,502,"WA I-5",3.25
1000212,10711,"Main St North",2,502,"WA I-5",3.25
1000213,10711,"Main St North",1,502,"WA I-5",3.25
1000222,10712,"Main St North",3,501,"WA I-5",3.25
1000223,10712,"Main St North",2,501,"WA I-5",3.25
1000224,10712,"Main St North",1,501,"WA I-5",3.25
1000208,10713,"Mill Pln NB Ramp",3,54,"WA I-205",28.69
1000209,10713,"Mill Pln NB Ramp",2,54,"WA I-205",28.69
1000210,10713,"Mill Pln NB Ramp",1,54,"WA I-205",28.69
1000199,10714,InterstateBrdg,3,501,"WA I-5",0.32
1000200,10714,InterstateBrdg,2,501,"WA I-5",0.32
1000201,10714,InterstateBrdg,1,501,"WA I-5",0.32
1000202,10715,InterstateBrdg,3,502,"WA I-5",0.32
1000203,10715,InterstateBrdg,2,502,"WA I-5",0.32
1000204,10715,InterstateBrdg,1,502,"WA I-5",0.32
1000228,10716,"112th Ave",2,52,"SR 500",5.46
1000229,10716,"112th Ave",1,52,"SR 500",5.46
1000230,10717,"112th Ave",2,53,"SR 500",5.46
1000231,10717,"112th Ave",1,53,"SR 500",5.46
102017,5207,,1,54,"WA I-205",36.15
102018,5207,,2,54,"WA I-205",36.15
